"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","M","2019-11",74.32823,
"AUS","EMP","TOT","PC_WKGPOP","M","2019-12",74.50729,
"AUS","EMP","TOT","PC_WKGPOP","M","2020-01",74.64482,
"AUS","EMP","TOT","PC_WKGPOP","M","2020-02",74.57205,
"AUS","EMP","TOT","PC_WKGPOP","M","2020-03",74.49639,
"AUS","EMP","TOT","PC_WKGPOP","M","2020-04",71.10789,
"AUS","EMP","TOT","PC_WKGPOP","M","2020-05",69.65687,
"AUS","EMP","TOT","PC_WKGPOP","M","2020-06",70.85742,
"AUS","EMP","TOT","PC_WKGPOP","M","2020-07",71.58161,
"AUS","EMP","TOT","PC_WKGPOP","M","2020-08",72.39204,
"AUS","EMP","TOT","PC_WKGPOP","M","2020-09",72.12794,
"AUS","EMP","TOT","PC_WKGPOP","M","2020-10",73.1792,
"AUS","EMP","TOT","PC_WKGPOP","M","2020-11",73.66148,
"AUS","EMP","TOT","PC_WKGPOP","M","2020-12",73.79512,
"CAN","EMP","TOT","PC_WKGPOP","M","2019-11",74,
"CAN","EMP","TOT","PC_WKGPOP","M","2019-12",74.2,
"CAN","EMP","TOT","PC_WKGPOP","M","2020-01",74.3,
"CAN","EMP","TOT","PC_WKGPOP","M","2020-02",74.4,
"CAN","EMP","TOT","PC_WKGPOP","M","2020-03",70.4,
"CAN","EMP","TOT","PC_WKGPOP","M","2020-04",62.7,
"CAN","EMP","TOT","PC_WKGPOP","M","2020-05",63.8,
"CAN","EMP","TOT","PC_WKGPOP","M","2020-06",67.5,
"CAN","EMP","TOT","PC_WKGPOP","M","2020-07",69.2,
"CAN","EMP","TOT","PC_WKGPOP","M","2020-08",70,
"CAN","EMP","TOT","PC_WKGPOP","M","2020-09",71.5,
"CAN","EMP","TOT","PC_WKGPOP","M","2020-10",71.9,
"CAN","EMP","TOT","PC_WKGPOP","M","2020-11",72.1,
"CAN","EMP","TOT","PC_WKGPOP","M","2020-12",71.9,
"CAN","EMP","TOT","PC_WKGPOP","M","2021-01",71,
"JPN","EMP","TOT","PC_WKGPOP","M","2019-11",77.99511,
"JPN","EMP","TOT","PC_WKGPOP","M","2019-12",78.09358,
"JPN","EMP","TOT","PC_WKGPOP","M","2020-01",77.8713,
"JPN","EMP","TOT","PC_WKGPOP","M","2020-02",78.03335,
"JPN","EMP","TOT","PC_WKGPOP","M","2020-03",77.92242,
"JPN","EMP","TOT","PC_WKGPOP","M","2020-04",77.12039,
"JPN","EMP","TOT","PC_WKGPOP","M","2020-05",76.96761,
"JPN","EMP","TOT","PC_WKGPOP","M","2020-06",77.05118,
"JPN","EMP","TOT","PC_WKGPOP","M","2020-07",77.01496,
"JPN","EMP","TOT","PC_WKGPOP","M","2020-08",77.13658,
"JPN","EMP","TOT","PC_WKGPOP","M","2020-09",77.11414,
"JPN","EMP","TOT","PC_WKGPOP","M","2020-10",77.10147,
"JPN","EMP","TOT","PC_WKGPOP","M","2020-11",77.46478,
"JPN","EMP","TOT","PC_WKGPOP","M","2020-12",77.43666,
"KOR","EMP","TOT","PC_WKGPOP","M","2019-11",66.88856,
"KOR","EMP","TOT","PC_WKGPOP","M","2019-12",67.21315,
"KOR","EMP","TOT","PC_WKGPOP","M","2020-01",67.25246,
"KOR","EMP","TOT","PC_WKGPOP","M","2020-02",67.10201,
"KOR","EMP","TOT","PC_WKGPOP","M","2020-03",65.80607,
"KOR","EMP","TOT","PC_WKGPOP","M","2020-04",65.22189,
"KOR","EMP","TOT","PC_WKGPOP","M","2020-05",65.4862,
"KOR","EMP","TOT","PC_WKGPOP","M","2020-06",65.55507,
