,,,,,,,,,,,
,Initial Claims,,,,Continued Claims,,,,I.U.R,,Covered Employment
,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.A.,
1/4/2020,"335,480",158.4,"212,000","219,750","2,249,123",127.9,"1,759,000","1,744,500",1.5,1.2,"145,230,691"
1/11/2020,"338,550",163.7,"207,000","214,250","2,141,587",123.4,"1,735,000","1,749,250",1.5,1.2,"145,230,691"
1/18/2020,"282,088",128.5,"220,000","214,750","2,079,050",122,"1,704,000","1,743,250",1.4,1.2,"145,230,691"
1/25/2020,"229,002",108.1,"212,000","212,750","2,152,733",122.8,"1,753,000","1,737,750",1.5,1.2,"145,230,691"
2/1/2020,"224,664",111.5,"201,000","210,000","2,087,525",124.4,"1,678,000","1,717,500",1.4,1.2,"145,230,691"
2/8/2020,"219,601",107.9,"204,000","209,250","2,099,073",121.4,"1,729,000","1,716,000",1.4,1.2,"145,230,691"
2/15/2020,"209,336",97.4,"215,000","208,000","2,061,669",121.8,"1,693,000","1,713,250",1.4,1.2,"145,230,691"
2/22/2020,"199,278",90.5,"220,000","210,000","2,105,457",122.4,"1,720,000","1,705,000",1.4,1.2,"145,230,691"
2/29/2020,"216,982",99.8,"217,000","214,000","2,057,280",121.1,"1,699,000","1,710,250",1.4,1.2,"145,230,691"
3/7/2020,"200,382",95,"211,000","215,750","1,977,272",116.2,"1,702,000","1,703,500",1.4,1.2,"145,230,691"
3/14/2020,"251,416",89.3,"282,000","232,500","2,074,782",116.3,"1,784,000","1,726,250",1.4,1.2,"145,230,691"
3/21/2020,"2,920,162",88.3,"3,307,000","1,004,250","3,416,645",111.7,"3,059,000","2,061,000",2.4,2.1,"145,230,691"
3/28/2020,"6,015,821",87.6,"6,867,000","2,666,750","8,168,375",109.7,"7,446,000","3,497,750",5.6,5.1,"145,230,691"
4/4/2020,"6,211,406",93.9,"6,615,000","4,267,750","12,461,658",104.6,"11,914,000","6,050,750",8.6,8.2,"145,671,710"
4/11/2020,"4,965,046",94.8,"5,237,000","5,506,500","16,277,322",102.9,"15,819,000","9,559,500",11.2,10.9,"145,671,710"
4/18/2020,"4,281,648",96.4,"4,442,000","5,790,250","17,794,965",98.8,"18,011,000","13,297,500",12.2,12.4,"145,671,710"
