race,year,total_16_over,16_to_19,16_to_17,18_to_19,20_over,20_to_24,25_and_over,25_to_54,25_to_34,35_to_44,45_to_54,55_and_over,55_to_64,65_and_over
all_races,2019,3.3,11.4,12.1,11,3,6,2.7,2.9,3.5,2.6,2.4,2.4,2.3,2.6
all_races,2020,6.5,13.5,12.5,14.1,6.2,10.3,5.8,5.9,6.8,5.5,5.4,5.6,5.6,5.5
white,2019,3,10.7,12,9.9,2.7,5.1,2.5,2.5,3,2.3,2.2,2.3,2.2,2.4
white,2020,5.8,12.7,12,13,5.5,8.8,5.2,5.2,5.9,5,4.8,5,5.1,5
black,2019,5.4,18.1,15.5,19.3,5,10.1,4.4,4.6,5.9,4.1,3.3,3.5,2.9,5.1
black,2020,9.9,19.6,16.7,21.3,9.6,16,8.8,9.1,11.1,8.2,7.3,7.9,7.4,9.4
asian,2019,2.6,5.2,5.6,4.8,2.5,5.3,2.3,2.4,2.6,2.4,2.2,2,2,2.1
asian,2020,6.7,6.5,-,8.3,6.7,11.3,6.3,5.9,6.2,4.6,7.1,7.9,8.1,7.1
his_lat,2019,4,14.3,15.5,13.7,3.5,6.1,3.2,3.1,3.5,3,2.9,3.2,3.2,3.1
his_lat,2020,8.7,15.9,16.4,15.7,8.3,10.6,8,7.9,9.2,7.2,7,8.3,8.6,7.4
